lon,lat,LCOE,max_elc,demand,co2,region,up_id,down_id,right_id,left_id,right_distance,left_distance,up_distance,down_distance,site_id,co2_cost
-111,78,0.02717894516129032,13268837.3675,0.0,0.0,R91,R-999,R90,R102,R80,69.64969359892991,69.64969359892991,,334.8967322749505,R91,50
-108,48,0.0336465947368421,13165737.4374,0.0,0.0,R92,R93,R-999,R103,R81,223.86193577281125,223.86193577281125,333.65812705441493,,R92,50
-108,51,0.03325072873563219,60210950.5835,0.0,24520.0,R93,R94,R92,R104,R82,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R93,50
-108,54,0.046277747798742136,41351345.2977,0.0,0.0,R94,R95,R93,R105,R83,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R94,50
-108,57,0.05234525068493151,32487330.4907,3988.755217,0.0,R95,R96,R94,R106,R84,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R95,50
-108,60,0.04982032537313433,31213776.797,310.631899,0.0,R96,R97,R95,R107,R85,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R96,50
-108,63,0.038668495798319324,36489273.4601,0.0,0.0,R97,R98,R96,R108,R86,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R97,50
-108,66,0.033441765420560744,37264454.0905,0.0,0.0,R98,R99,R97,R109,R87,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R98,50
-108,69,0.03135129347826087,33396003.156,200.5751399,0.0,R99,R100,R98,R110,R88,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R99,50
-108,72,0.03159773375,29745159.4059,0.0,0.0,R100,R101,R99,R111,R89,103.5020151220522,103.5020151220522,334.80823238428104,334.70424431105016,R100,50
-108,75,0.026453784615384616,17259233.1669,0.0,0.0,R101,R102,R100,R112,R90,86.69677647368049,86.69677647368049,334.8967322749505,334.80823238428104,R101,50
-108,78,0.02520019,4593804.1342,0.0,0.0,R102,R-999,R101,R113,R91,69.64969359892991,69.64969359892991,,334.8967322749505,R102,50
-105,48,0.031045144444444443,13461183.7123,0.0,0.0,R103,R104,R-999,R114,R92,223.86193577281125,223.86193577281125,333.65812705441493,,R103,50
-105,51,0.03141972471910113,61337848.4022,98155.90456,847130.0,R104,R105,R103,R115,R93,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R104,50
-105,54,0.04691162298136646,41817299.7531,0.0,0.0,R105,R106,R104,R116,R94,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R105,50
-105,57,0.04854999310344827,35089274.5918,0.0,0.0,R106,R107,R105,R117,R95,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R106,50
-105,60,0.044216535606060606,35252244.5375,0.0,0.0,R107,R108,R106,R118,R96,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R107,50
-105,63,0.030890518333333335,44429120.9408,0.566329807,0.0,R108,R109,R107,R119,R97,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R108,50
-105,66,0.02889444770642202,43025868.9022,3.209202238,0.0,R109,R110,R108,R120,R98,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R109,50
-105,69,0.02899055777777778,36126773.5965,0.0,0.0,R110,R111,R109,R121,R99,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R110,50
-105,72,0.02613288870967742,27556895.5599,0.0,0.0,R111,R112,R110,R122,R100,103.5020151220522,103.5020151220522,334.80823238428104,334.70424431105016,R111,50
-105,75,0.02751684411764706,14421310.3133,0.0,0.0,R112,R113,R111,R123,R101,86.69677647368049,86.69677647368049,334.8967322749505,334.80823238428104,R112,50
-105,78,0.02811801666666667,12356954.6319,0.0,0.0,R113,R-999,R112,R124,R102,69.64969359892991,69.64969359892991,,334.8967322749505,R113,50
-102,48,0.03289763243243243,13013990.6987,0.0,0.0,R114,R115,R-999,R125,R103,223.86193577281125,223.86193577281125,333.65812705441493,,R114,50
-102,51,0.036284644827586206,56718914.3403,0.0,0.0,R115,R116,R114,R126,R104,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R115,50
-102,54,0.04762908113207547,39209808.0804,6465.787404,0.0,R116,R117,R115,R127,R105,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R116,50
-102,57,0.04487466164383562,37741375.6316,2451.169792,0.0,R117,R118,R116,R128,R106,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R117,50
