lon,lat,LCOE,max_elec
-126.7094989,51.13768606,0.0683902,169140.09
-126.560094,50.98294873,0.0672204,172083.4851
-126.4118368,50.82806951,0.0557595,207453.7759
-126.2647158,50.67305203,0.0412269,280581.9099
-126.1187194,50.51789986,0.0378821,305355.5
-125.9738364,50.36261657,0.0437229,264564.4826
-125.8300555,50.20720566,0.0680036,170101.6631
-125.6873656,50.05167061,0.0823563,140457.1295
-125.5457559,49.89601487,0.0912623,126750.4207
-125.4052154,49.74024184,0.0615681,187881.8614
-125.2657336,49.58435489,0.0724292,159707.9905
-125.1272997,49.42835737,0.1274576,90755.92194
-124.9899033,49.27225258,0.15062,76799.44161
-124.8535341,49.11604379,0.083427,138654.56
-124.7181818,48.95973424,0.0812715,142332.0003
-124.5838363,48.80332713,0.0955356,121080.8433
-124.4504876,48.64682563,0.085335,135554.3348
-124.3181259,48.4902329,0.0652704,177224.6774
-124.1867412,48.33355203,0.0403539,286651.9932
-141.1273634,61.74509732,0.0971027,119126.7929
-140.8557486,61.61262606,0.257969,44840.79159
-140.5865042,61.47961833,0.2044647,56574.71054
-140.3196089,61.34608206,0.1854846,62363.85935
-140.0550414,61.21202511,0.0829468,139457.1506
-139.7927804,61.07745525,0.0557435,207513.5065
-139.5328047,60.94238015,0.0396957,291405.2417
-139.275093,60.80680741,0.031787,363907.652
-139.0196243,60.67074456,0.0415416,278456.2419
-138.7663776,60.53419903,0.0448134,258126.6689
-138.515332,60.39717817,0.0490361,235897.9112
-138.2664665,60.25968926,0.0388177,297996.0606
-138.0197605,60.1217395,0.0370945,311839.4106
-137.7751932,59.98333599,0.0414334,279183.8432
-137.5327442,59.84448579,0.0331592,348847.7605
-137.2923929,59.70519585,0.0377626,306322.2452
-137.0541191,59.56547305,0.0351299,329278.0848
-136.8179025,59.42532421,0.0333773,346568.6032
-136.583723,59.28475605,0.0406059,284872.7574
-130.4115949,54.90326057,0.0462889,249898.5114
-130.2313699,54.75265806,0.0466068,248193.8069
-130.0526156,54.60181649,0.0441314,262115.6709
-129.8753168,54.45074052,0.0406736,284399.1481
-129.6994585,54.29943478,0.0459037,251995.2727
-129.525026,54.14790383,0.0473051,244530.2222
-129.3520045,53.9961522,0.0333593,346755.2297
-129.1803796,53.84418434,0.0421061,274723.4993
-129.0101368,53.6920047,0.0506145,228541.9503
-128.8412619,53.53961763,0.0521006,222023.0437
-128.6737409,53.38702747,0.0452251,255776.5373
-128.5075599,53.23423849,0.0405662,285151.4764
-128.342705,53.08125494,0.0435596,265556.1763
-128.1791626,52.92808101,0.0500739,231009.2042
-128.0169194,52.77472083,0.054634,211727.569
-127.8559619,52.62117851,0.0536325,215681.1215
-127.6962769,52.46745812,0.0602136,192108.1072
-127.5378515,52.31356366,0.0609225,189872.7174
-127.3806726,52.1594991,0.0641187,180408.1525
-127.2247277,52.00526838,0.0656144,176295.5306
-127.0700039,51.8508754,0.0511348,226216.2632
-126.9164889,51.69632398,0.0560886,206236.7858
-126.7641704,51.54161796,0.0437615,264330.835
-126.613036,51.38676108,0.0505366,228893.9546
-126.4630738,51.23175709,0.067388,171655.5747
-126.3142717,51.07660968,0.0703345,164464.4059
-126.1666181,50.92132248,0.0679392,170262.9596
-126.0201012,50.76589913,0.0564882,204777.853
-125.8747095,50.61034319,0.0489247,236435.0986
-125.7304316,50.45465821,0.0397925,290695.7273
-125.5872562,50.29884769,0.0466736,247838.7805
-125.4451721,50.14291509,0.0625278,184998.2253
-125.3041683,49.98686385,0.0645106,179311.9218
-125.164234,49.83069737,0.0621895,186004.4145
-125.0253583,49.674419,0.0827311,139820.7822
-124.8875305,49.51803208,0.0732444,157930.4783
-124.7507402,49.3615399,0.0692476,167045.8421
-124.6149769,49.20494571,0.0581527,198916.5899
-124.4802303,49.04825275,0.0710598,162785.7732
-124.3464903,48.8914642,0.0765004,151208.6815
-124.2137467,48.73458324,0.1017508,113684.9288
-124.0819896,48.57761299,0.0716163,161520.8117
-123.9512092,48.42055655,0.0564327,204979.1785
-123.8213958,48.26341699,0.032877,351842.4768
-141.1212789,62.00665745,0.0843951,137064.0646
-140.8473252,61.87415174,0.1031513,112141.3915
-140.5757833,61.74110359,0.1991416,58086.98644
-140.3066315,61.60752105,0.2326067,49730.0106
-140.0398478,61.47341208,0.1623288,71259.89812
-139.7754103,61.33878456,0.1379211,83870.6356
-139.5132972,61.20364629,0.075764,152678.3751
-139.2534868,61.06800497,0.0511115,226319.5446
-138.9959575,60.93186823,0.0351833,328778.4268
-138.7406877,60.7952436,0.0493341,234473.2417
-138.4876559,60.65813854,0.0582669,198526.5212
-138.2368406,60.52056043,0.0436991,264708.4429
-137.9882207,60.38251655,0.0364237,317582.0974
-137.7417748,60.24401413,0.0372594,310458.7448
-137.497482,60.1050603,0.0440215,262770.073
-137.2553211,59.9656621,0.0657202,176011.7486
-137.0152715,59.82582652,0.0358512,322653.6948
-136.7773122,59.68556044,0.035404,326728.8052
-136.5414228,59.54487069,0.0484111,238943.8742
-136.3075827,59.40376402,0.0588204,196658.5686
-130.3308554,55.15806729,0.0686046,168611.556
-130.1497075,55.00724283,0.051736,223587.7656
-129.9700494,54.85617695,0.0471936,245107.7146
-129.7918656,54.70487438,0.0443439,260859.1829
-129.6151407,54.55333978,0.0377229,306644.6583
-129.4398597,54.40157776,0.0523861,220812.7863
-129.2660076,54.24959287,0.0488278,236904.6635
-129.0935694,54.09738962,0.0352789,327887.8637
-128.9225306,53.94497249,0.0542934,213055.8919
-128.7528766,53.79234588,0.0483014,239486.2133
-128.5845931,53.63951415,0.0387551,298477.3724
-128.4176658,53.48648163,0.0520801,222110.3622
-128.2520806,53.33325258,0.0419442,275783.7461
-128.0878238,53.17983124,0.0385637,299958.6787
-127.9248814,53.02622178,0.0476263,242881.0617
-127.76324,52.87242835,0.042307,273418.5236
-127.6028861,52.71845502,0.0419175,275959.3959
-127.4438063,52.56430585,0.0607741,190336.3913
-127.2859874,52.40998485,0.0705291,164010.7849
-127.1294166,52.25549597,0.0492306,234966.1788
-126.9740809,52.10084313,0.0481189,240394.7328
-126.8199675,51.94603023,0.0442646,261326.8856
-126.667064,51.79106108,0.0722255,160158.4336
-126.5153578,51.6359395,0.0617757,187250.4886
-126.3648367,51.48066924,0.0412091,280703.2218
-126.2154885,51.32525401,0.0648718,178313.7595
-126.0673011,51.1696975,0.0763503,151506.0204
-125.9202627,51.01400335,0.0586098,197364.9346
-125.7743615,50.85817516,0.0686501,168499.9158
-125.6295859,50.70221649,0.0719364,160802.2157
-125.4859244,50.54613088,0.0661031,174992.2351
-125.3433656,50.38992182,0.0574227,201445.0503
-125.2018983,50.23359276,0.050787,227765.3302
-125.0615114,50.07714713,0.0445839,259454.9556
-124.9221939,49.9205883,0.0369596,312977.5472
-124.783935,49.76391963,0.0360674,320719.4343
-124.6467239,49.60714444,0.0364634,317236.7969
-124.5105501,49.45026601,0.0416058,278026.6796
-124.375403,49.29328758,0.0776646,148942.1991
-124.2412723,49.13621237,0.0674854,171407.8401
-124.1081478,48.97904358,0.0677158,170824.7588
-123.9760192,48.82178433,0.0816769,141625.5331
-123.8448767,48.66443776,0.0767541,150708.9726
-123.7147103,48.50700696,0.0775789,149106.6529
-123.5855103,48.34949497,0.0431576,268029.6229
-141.115087,62.26825249,0.1331004,86908.34396
-140.8387537,62.13571459,0.1070346,108072.8602
-140.5648749,62.0026282,0.0975631,118564.6082
-140.2934281,61.86900148,0.1292591,89491.02955
-140.0243908,61.73484251,0.1393983,82981.84872
-139.7577404,61.6001593,0.1421885,81353.48955
-139.4934547,61.46495974,0.1158423,99855.83115
-139.2315113,61.32925164,0.103509,111753.8481
-138.971888,61.19304275,0.0581203,199027.4401
